title,lessons,price,ratings,image_url,course_url,description
Agentic AI Pioneer Program - Launching Soon!,1 Lessons,Free,0,https://import.cdn.thinkific.com/118220/oJYYBFgQWamsbuYK9dTN_card%20hero%20image%20(1).jpg,https://courses.analyticsvidhya.com/courses/agentic-ai-pioneer-program-lauching_soon,Description not available.
Creating Problem-Solving Agents using GenAI for Action Composition,6 Lessons,Free,0,https://import.cdn.thinkific.com/118220/ih6JsBMgSCWbl9ofgpYg_Thumbnail%20.png,https://courses.analyticsvidhya.com/courses/creating-problem-solving-agents-using-genai-for-action-composition,"Course DescriptionThis introductory course provides a concise overview of Agentic AI systems, covering their evolution, current state, and practical applications. You will explore key topics including the history of Agentic AI systems, the role of agents today, multi-agent systems, and practical solutions for implementing them. Perfect for those seeking a foundational understanding of intelligent Agentic AI systems in action."
Improving Real World RAG Systems: Key Challenges & Practical Solutions,12 Lessons,Free,0,https://import.cdn.thinkific.com/118220/70WfAJhFRsyXXdLQcWIl_281762.jpg,https://courses.analyticsvidhya.com/courses/improving-real-world-rag-systems-key-challenges,"Course DescriptionThis course explores the key challenges in building real-world Retrieval-Augmented Generation (RAG) systems and provides practical solutions. Topics include improving data retrieval, dealing with hallucinations, context selection, and optimizing system performance using advanced prompting, retrieval strategies, and evaluation techniques. Through hands-on demos, you will gain insights into better chunking, embedding models, and agentic RAG systems for more robust, real-world applications."
Framework to Choose the Right LLM for your Business,6 Lessons,Free,0,https://import.cdn.thinkific.com/118220/A3lVcQcRRbKN9IBZANvV_cinematic-person-is-looking-customer-journey-map%201.jpg,https://courses.analyticsvidhya.com/courses/choosing-the-right-LLM-for-your-business,"Course DescriptionThis course will guide you through the process of selecting the most suitable Large Language Model (LLM) for various business needs. By examining factors such as accuracy, cost, scalability, and integration, you will understand how different LLMs perform in specific scenarios, from customer support to healthcare and strategy development. The course emphasizes practical decision-making with real-world case studies, helping businesses navigate the rapidly evolving LLM landscape effectively."
Building Smarter LLMs with Mamba and State Space Model,14 Lessons,Free,0,https://import.cdn.thinkific.com/118220/FbdKUqgKSj2K80QgVl1z_THUMBNAIL%20(1).png,https://courses.analyticsvidhya.com/courses/SSMAndMambaForAI,"Course DescriptionUnlock the Power of State Space Models (SSM) like Mamba with our comprehensive course designed for AI professionals, data scientists, and NLP enthusiasts. Master the art of integrating SSM with deep learning, unravel the complexities of models like Mamba, and elevate your understanding of Generative AI's newest and most innovative models. This course is designed to equip you with the skills needed to understand these cutting-edge AI models and how they work, making you proficient in the latest AI techniques and architectures."
Generative AI - A Way of Life - Free Course,30 Lessons,Free,1,https://import.cdn.thinkific.com/118220/0hkgoKCKTnKKxhQGAEIp_govind_av_httpss.mj.runER3kgo8rubs_based_on_this_theme_create_b2190701-9e82-47ea-b65a-c52d6de94e07_3.png,https://courses.analyticsvidhya.com/courses/genai-a-way-of-life,"Generative AI - A Way of LifeThis course is a transformative journey tailored for beginners and delves into AI-powered text and image generation using leading tools like ChatGPT, Microsoft Copilot, and DALL·E3. Learn practical applications across industries, ethical considerations, and best practices. Whether you're a content creator, business innovator, or AI enthusiast, gain the expertise to harness Generative AI's full potential and drive innovation in your field."
Building LLM Applications using Prompt Engineering - Free Course,17 Lessons,Free,5,https://import.cdn.thinkific.com/118220/GnpgN0uiTA1VO2MpQvTA_3.png,https://courses.analyticsvidhya.com/courses/building-llm-applications-using-prompt-engineering-free,"Who Should Enroll?This course will provide you with a hands-on understanding of building LLM applications and mastering prompt engineering techniques. By the end of the course, you will be proficient in implementing and fine-tuning these techniques to enhance generative AI model performance. You'll learn to apply various prompting methods and build chatbots on enterprise data, equipping you with the skills to improve conversational AI systems in real-world projects.Who Should Enroll:Professionals:Individuals looking to deepen their knowledge and apply advanced LLM and prompt engineering techniques to solve complex problems across various domains.Aspiring Students:Individuals looking to deepen their knowledge and apply advanced LLM and prompt engineering techniques to solve complex problems across various domains."
Building Your First Computer Vision Model - Free Course,7 Lessons,Free,2,https://import.cdn.thinkific.com/118220/cv8WEAZPRtGcSR8A2kBY_cv%20thumbnail.png,https://courses.analyticsvidhya.com/courses/building-your-first-computer-vision-model,"Introduction to Computer Vision using PyTorchThis course will help you gain a deep understanding of Computer Vision and build advanced CV models using the PyTorch framework. With a carefully curated list of resources and exercises, this course is your guide to becoming a Computer Vision expert. Master the techniques to build convolutional neural networks, and classify images.Who Should Enroll:Professionals: Individuals looking to expand their skill set and leverage CV across different industries.Aspiring Students: For those setting out on their journey to master image data analysis and leave a mark in the tech world."
Bagging and Boosting ML Algorithms - Free Course,16 Lessons,Free,0,https://import.cdn.thinkific.com/118220/ZPH29GMrTey5gAaobwAH_Getting%20started%20with%20Decision%20Trees.jpg,https://courses.analyticsvidhya.com/courses/bagging-boosting-ML-Algorithms,"Bagging and Boosting ML AlgorithmsThis course will provide you with a hands-on understanding of Bagging and Boosting techniques in machine learning. By the end of the course, you will be proficient in implementing and tuning these ensemble methods to enhance model performance. You'll learn to apply algorithms like Random Forest, AdaBoost, and Gradient Boosting to a real-world dataset, equipping you with the skills to improve predictive accuracy and robustness in your projects.Who Should Enroll:Professionals:Individuals looking to deepen their knowledge and apply advanced machine learning techniques like Bagging and Boosting to solve complex problems across various domainsAspiring Students:Individuals looking to deepen their knowledge and apply advanced ML techniques to bring value to businesses"
MidJourney: From Inspiration to Implementation - Free Course,5 Lessons,Free,1,https://import.cdn.thinkific.com/118220/NclAzDSwRwedON784y83_QZQvFaQFTFu4cFHZ0O5A_Midjourney%20(1).png,https://courses.analyticsvidhya.com/courses/midjourney_from_inspiration_to_implementation,"MidJourney: From Inspiration to ImplementationThis course will provide you with a practical understanding of MidJourney tools. By the end of the course, you will be able to utilize MidJourney effectively and explore alternative tools for your creative projects. You'll learn how to draw inspiration, use MidJourney's features, and understand its applications through engaging lessons.Who Should Enroll:Creative Professionals:Individuals looking to enhance their creativity and apply MidJourney tools to various artistic and visual projects.Aspiring Creatives:Those beginning their journey into visual storytelling and digital art, seeking to learn the fundamentals of MidJourney and its alternatives."
